"","Task","Muscle","Mean_Dif","SD_Dif","Min_Dif","Max_Dif"
"107","task03","Pectoralis Minor",4.86633346603616,6.60521911993302,0.00258356356973022,53.0568022738353
"108","task03","Posterior Deltoid",7.45523681560974,6.55850213850182,0.00039057256875008,37.9983293535223
"109","task03","Posterior Supraspinatus",5.88554446988329,6.6549733368376,0.00457137630370396,59.2685253152594
"110","task03","Pronator Quadratus",7.03345375891163,4.9916842866257,0.016913606388,34.2221218126334
"111","task03","Pronator Teres, Humeral",6.83388530427667,5.63734762620828,0.000786186260619104,46.9659476968609
"112","task03","Pronator Teres, Ulnar",5.81843020188332,7.25362071741907,0.0017108072872194,44.6033649163856
"113","task03","Superior Infraspinatus",3.62806660583186,4.17075184390703,0.00113370368877651,37.6481036351971
"114","task03","Superior Latissimus Dorsi",18.7324092667041,8.34233718775836,0.0144137980532975,54.4698012165975
"115","task03","Superior Pectoralis Major",2.22475562880251,2.24784556621739,0.00036209559677942,16.1796520955075
"116","task03","Superior Rhombiod",1.90366410127697,1.88964980938545,8.20789317707384e-05,13.0638688812073
"117","task03","Superior Serratus Anterior",2.56688181630931,2.78678161762442,0.00236056871628387,28.7401330161375
"118","task03","Superior Subscapularis",4.86557371914805,6.39769248842866,0.000437010960759654,46.0316527464888
"119","task03","Superior Trapezius, Scapula",1.60016702039491,0.947843723040089,0.00151568666827018,11.163872750928
"120","task03","Supinator",2.39439375339669,2.64306538629933,0.0018869365429667,22.6079101747601
"121","task03","Teres Major",9.9926118867405,7.4594916767831,0.000441345262800041,43.09173941272
"122","task03","Teres Minor",3.28748380399113,3.81182571621475,0.000921605047037838,27.439955244488
"123","task03","Trapezius, Clavicle",5.9355619885244,6.74508234558512,0.000425597801981696,55.5897371444082
"124","task03","Triceps Lateral Head",7.44679845577352,6.6899752098712,0.00558411719230989,47.898786234398
"125","task03","Triceps Long Head",7.15251374462458,4.5750947678342,0.00302653333200098,26.5645954768772
"126","task03","Triceps Medial Head",7.96899591117543,6.46910560447193,0.00312865853790001,40.6604269845952
"127","task04","Anconeus",5.44698786758492,7.24093824324603,0.000290136116639861,54.362764053113
"128","task04","Anterior Deltoid",0.552644609024322,0.560649739209521,1.51132410280789e-05,3.91820053587608
"129","task04","Anterior Supraspinatus",5.74546374666881,7.80957138497645,0.00231581390986024,69.979233418694
"130","task04","Biceps Long Head",3.52214206815131,3.99590028653794,0.00111848516725436,29.529245510394
"131","task04","Biceps Short Head",2.08990156470239,2.3149754022489,0.00220438462674295,18.3079777904325
"132","task04","Brachialis",4.34938009755979,4.72014655835972,0.00217091263978571,33.2380734478585
"133","task04","Brachioradialis",5.98761888465068,6.62729214893257,0.00277087647122782,52.5577568719151
"134","task04","Coracobrachialis",3.27885372538583,3.6622654727062,0.000190838907557454,28.7163093013757
"135","task04","Inferior Infraspinatus",2.69139013361324,3.03117839257186,0.000248611030088417,26.7006622194696
"136","task04","Inferior Latissimus Dorsi",2.07882403075317,2.42086963251875,0.00137260275020878,23.2236870628094
"137","task04","Inferior Pectoralis Major",0.331879734876468,0.341341222354152,0.000120515217127016,2.82579905051731
"138","task04","Inferior Rhombiod",1.66060729562581,1.68195790262545,0.00165371538186385,12.5364118534163
"139","task04","Inferior Serratus Anterior",0.207935420720789,0.21480037118103,7.82509214011257e-05,1.78081238657239
"140","task04","Inferior Subscapularis",18.9122549298158,12.1680995234951,0.0113034769403022,60.9116376828044
"141","task04","Inferior Trapezius, Scapula",0.987911992053436,0.999844483187713,0.000730556489367234,6.93966777890576
"142","task04","Levator Scapula",13.0275331836658,5.31650613812438,0.0640159697762996,23.6819946690666
"143","task04","Middle Deltoid",7.32804854853761,4.9633413828466,0.00683199811038604,31.7088784631493
