"","Task","DOF","Muscle","M","SD","Median","Min","Max"
"188","task02","11dof","Middle Serratus Anterior",8.89698518076289,6.98562822799762,7.3781805115464,0.000923845794514877,44.7821009574401
"189","task02","11dof","Middle Subscapularis",58.0972832361215,27.2372469614508,61.3450014965574,0.0229702187895753,99.9922423776096
"190","task02","11dof","Middle Trapezius, Scapula",3.03347532863232,2.72480852616513,2.27283895224601,0.000115952516140799,19.7153838576126
"191","task02","11dof","Pectoralis Minor",17.3663063193233,13.5319212083393,14.3522169088116,6.02009557537642e-05,80.3454809186384
"192","task02","11dof","Posterior Deltoid",56.5952776764016,25.7960911103367,58.4584589105583,0.0165510818393,99.9940796809284
"193","task02","11dof","Posterior Supraspinatus",48.9903466528102,28.9031460151702,48.323205841392,0.0125799884685529,99.9397164093522
"194","task02","11dof","Pronator Quadratus",53.4637364041535,27.842778222081,55.1043156622988,0.0217987750274928,99.9998341521988
"195","task02","11dof","Pronator Teres, Humeral",54.4924857692266,27.7084552933472,56.3776938504975,0.0146215425134821,99.9962441981309
"196","task02","11dof","Pronator Teres, Ulnar",50.8471116212557,28.8135068923569,50.868908148004,0.00494258982771667,99.9922198251375
"197","task02","11dof","Superior Infraspinatus",41.7174109255622,27.30033943366,38.043292373531,0.00417885255653561,99.9830494827754
"198","task02","11dof","Superior Latissimus Dorsi",10.9907830786192,9.96912315764004,8.14186892616321,0.000126218016027746,70.4652617461364
"199","task02","11dof","Superior Pectoralis Major",6.90853977561101,5.85046779680549,5.39782819951883,0.00207092135028619,42.7398281739366
"200","task02","11dof","Superior Rhombiod",3.9145964181943,3.59761417340946,2.9071794709546,0.000352750256780304,30.6080978945126
"201","task02","11dof","Superior Serratus Anterior",25.215658042552,14.3074841210661,24.1323211162198,0.00518129518782828,90.8254008102312
"202","task02","11dof","Superior Subscapularis",51.6084803435316,28.6934833598503,52.5011934078999,0.000125808606143973,99.9894724983222
"203","task02","11dof","Superior Trapezius, Scapula",2.80197520775202,2.43498459381537,2.15179626089047,0.000522037239874401,16.1171000135831
"204","task02","11dof","Supinator",36.4299021659719,20.5061012993657,34.838779546584,0.000952961122668849,99.5729060398152
"205","task02","11dof","Teres Major",63.6148299877957,24.5371455913571,66.8838437976584,0.0877739992178994,99.9814601065855
"206","task02","11dof","Teres Minor",40.465010210479,26.3800124266828,37.069004654971,0.0175646292425169,99.9443058215888
"207","task02","11dof","Trapezius, Clavicle",64.7524423077767,24.2843280016318,68.6316640936552,0.0171414658832525,99.9972565181249
"208","task02","11dof","Triceps Lateral Head",43.7510099153849,27.3920856792322,41.3668342745853,0.0114282339691518,99.9866357712707
"209","task02","11dof","Triceps Long Head",35.1407435857282,22.7031920663937,32.0867360474336,0.00560302808078617,99.8361235143829
"210","task02","11dof","Triceps Medial Head",40.529559166326,26.3676324485083,37.5972021137718,0.00686927922838865,99.9925601348129
"211","task02","3dof","Anconeus",50.1833385951489,28.7388089065199,50.5486764401393,0.0205620351004188,99.9962216618857
"212","task02","3dof","Anterior Deltoid",27.2093038370662,22.0608738771717,21.5670603601229,0.00855586676019038,99.8659351025349
"213","task02","3dof","Anterior Supraspinatus",50.215726698276,28.8301786944435,50.4735159765074,0.011030961552394,99.9924052297148
"214","task02","3dof","Biceps Long Head",42.8262183881353,28.165173949517,39.8880532842383,0.0102264168893806,99.9963023346821
"215","task02","3dof","Biceps Short Head",25.0171612914952,20.6729455295425,19.6316233200257,0.0203718173175715,99.9980058955513
"216","task02","3dof","Brachialis",49.8696603598883,28.895516823864,49.7413073658408,0.0358074079121695,99.9887049798154
"217","task02","3dof","Brachioradialis",49.696771929473,28.9182719564767,49.4274756373278,0.00182357954140455,99.9897295775994
"218","task02","3dof","Coracobrachialis",27.6293081340804,22.3331195098694,21.9740923113233,4.97615252836869e-05,99.8734835378453
"219","task02","3dof","Inferior Infraspinatus",49.7606343964866,27.6491372686243,49.8059189011055,0.00593018473067364,99.9973602793826
"220","task02","3dof","Inferior Latissimus Dorsi",49.9762188546022,28.5441654524551,50.7976726021162,0.00913259291475121,99.9918500351228
"221","task02","3dof","Inferior Pectoralis Major",13.7943395380291,11.6850136470216,10.6525515267098,0.00468134373360352,72.5054224214784
"222","task02","3dof","Inferior Rhombiod",50.5791379854242,29.008073733576,50.4167109492467,0.00448888805354986,99.9864321483392
"223","task02","3dof","Inferior Serratus Anterior",50.411850805305,28.8860728015436,50.4752244412648,0.00567672125692531,99.9947875208537
"224","task02","3dof","Inferior Subscapularis",53.324843290945,27.4061487207943,54.6061091433178,0.000515244060839137,99.9927371805668
